trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
41,False,"{'a': 0.9, 'e': 0.3196271879591266}",25,3,-95.61536340850706,"{0: 14, 1: 1, 2: 5, 3: 1, 4: 1}",1
42,False,"{'a': 0.9, 'e': 0.31111271649682803}",25,0,-99.97699203249132,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
43,False,"{'a': 0.9, 'e': 0.3028250599833615}",30,0,-237.71125515265476,"{0: 12, 1: 5, 2: 9, 3: 1, 4: 3}",0
44,False,"{'a': 0.9, 'e': 0.29475817635008655}",20,0,-45.491867842119746,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
45,False,"{'a': 0.9, 'e': 0.2869061844815697}",20,0,-124.49721287034812,"{0: 10, 1: 5, 2: 3, 3: 0, 4: 2}",0
46,False,"{'a': 0.9, 'e': 0.2792633599279911}",25,0,-128.44779091706448,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
47,False,"{'a': 0.9, 'e': 0.2718241307317672}",25,0,-29.830299872659342,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
48,False,"{'a': 0.9, 'e': 0.2645830733653465}",25,0,-175.39456460762858,"{0: 13, 1: 4, 2: 5, 3: 0, 4: 3}",0
49,False,"{'a': 0.9, 'e': 0.25753490877721835}",20,0,-123.76688939816941,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
50,False,"{'a': 0.9, 'e': 0.25067449854325013}",30,13,-97.58106241632096,"{0: 8, 1: 4, 2: 3, 3: 1, 4: 1}",1
51,False,"{'a': 0.9, 'e': 0.2439968411205485}",35,0,-172.57183023884448,"{0: 20, 1: 5, 2: 7, 3: 1, 4: 2}",0
52,False,"{'a': 0.9, 'e': 0.23749706820111346}",30,0,-149.20558076629462,"{0: 18, 1: 4, 2: 5, 3: 1, 4: 2}",0
53,False,"{'a': 0.9, 'e': 0.23117044116262586}",25,0,-74.35832404090259,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0
54,False,"{'a': 0.9, 'e': 0.22501234761378217}",30,0,-67.68570518728379,"{0: 23, 1: 2, 2: 4, 3: 0, 4: 1}",0
55,False,"{'a': 0.9, 'e': 0.21901829803165668}",25,0,-156.26092489616101,"{0: 15, 1: 4, 2: 3, 3: 0, 4: 3}",0
56,False,"{'a': 0.9, 'e': 0.21318392248864057}",30,10,-94.95410784002712,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",1
57,False,"{'a': 0.9, 'e': 0.20750496746657118}",20,0,-100.9002980255603,"{0: 9, 1: 6, 2: 4, 3: 0, 4: 1}",0
58,False,"{'a': 0.9, 'e': 0.20197729275572887}",20,0,-99.98263514070405,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
